Datetime,Open,High,Low,Close,Volume
2023-03-01 09:15:00+05:30,17360.1,17392.55,17353.45,17387.15,0
2023-03-01 09:20:00+05:30,17387.95,17409.2,17380.95,17386.55,0
2023-03-01 09:25:00+05:30,17387.1,17398.8,17369.5,17369.75,0
2023-03-01 09:30:00+05:30,17368.35,17393.9,17362.75,17381.75,0
2023-03-01 09:35:00+05:30,17382.15,17415.35,17382.15,17413.75,0
2023-03-01 09:40:00+05:30,17413.9,17421.75,17397.3,17405.45,0
2023-03-01 09:45:00+05:30,17405.75,17420.65,17404.95,17418.4,0
2023-03-01 09:50:00+05:30,17417.35,17418.95,17384.6,17393.5,0
2023-03-01 09:55:00+05:30,17394.05,17402.25,17388.0,17389.4,0
2023-03-01 10:00:00+05:30,17390.45,17407.9,17390.4,17406.25,0
2023-03-01 10:05:00+05:30,17406.2,17416.1,17404.85,17411.9,0
2023-03-01 10:10:00+05:30,17411.4,17420.95,17404.15,17404.15,0
2023-03-01 10:15:00+05:30,17404.6,17411.9,17389.55,17410.5,0
2023-03-01 10:20:00+05:30,17409.85,17413.35,17402.35,17402.65,0
2023-03-01 10:25:00+05:30,17402.3,17420.5,17390.9,17420.0,0
2023-03-01 10:30:00+05:30,17418.35,17425.55,17415.2,17416.25,0
2023-03-01 10:35:00+05:30,17415.7,17425.3,17403.95,17424.05,0
2023-03-01 10:40:00+05:30,17424.1,17427.0,17415.2,17418.5,0
2023-03-01 10:45:00+05:30,17418.2,17420.3,17411.6,17415.7,0
2023-03-01 10:50:00+05:30,17415.15,17419.5,17409.5,17411.9,0
2023-03-01 10:55:00+05:30,17411.85,17421.0,17411.85,17419.5,0
2023-03-01 11:00:00+05:30,17419.5,17420.9,17414.6,17414.6,0
2023-03-01 11:05:00+05:30,17414.4,17425.8,17409.7,17425.0,0
2023-03-01 11:10:00+05:30,17425.05,17430.55,17411.3,17430.5,0
2023-03-01 11:15:00+05:30,17430.85,17436.5,17424.15,17432.3,0
2023-03-01 11:20:00+05:30,17432.5,17433.65,17426.4,17427.4,0
2023-03-01 11:25:00+05:30,17426.65,17432.45,17423.95,17427.65,0
2023-03-01 11:30:00+05:30,17428.45,17441.2,17419.25,17438.4,0
2023-03-01 11:35:00+05:30,17438.05,17440.45,17419.7,17419.7,0
2023-03-01 11:40:00+05:30,17419.9,17436.65,17417.5,17429.25,0
2023-03-01 11:45:00+05:30,17429.45,17429.45,17424.15,17424.15,0
2023-03-01 11:50:00+05:30,17423.7,17426.35,17421.7,17424.95,0
2023-03-01 11:55:00+05:30,17424.65,17428.7,17424.25,17427.4,0
2023-03-01 12:00:00+05:30,17427.95,17431.15,17423.15,17430.5,0
2023-03-01 12:05:00+05:30,17430.45,17430.45,17411.85,17414.7,0
2023-03-01 12:10:00+05:30,17414.9,17416.45,17406.7,17407.8,0
2023-03-01 12:15:00+05:30,17407.55,17414.3,17400.45,17404.05,0
2023-03-01 12:20:00+05:30,17404.3,17414.5,17393.6,17413.1,0
2023-03-01 12:25:00+05:30,17413.65,17419.55,17409.55,17417.35,0
2023-03-01 12:30:00+05:30,17417.55,17422.75,17414.75,17415.0,0
2023-03-01 12:35:00+05:30,17415.6,17416.1,17409.1,17412.4,0
2023-03-01 12:40:00+05:30,17411.8,17418.75,17401.75,17417.3,0
2023-03-01 12:45:00+05:30,17417.35,17421.3,17416.5,17419.15,0
2023-03-01 12:50:00+05:30,17419.7,17428.65,17418.4,17427.3,0
